MonthYear,Month,Year,Role,Source,Stage,Candidates
2/2016,2,2016,CSM,"Career Site","Phone Screen",0
2/2016,2,2016,CSM,"Career Site",Onsite,0
2/2016,2,2016,CSM,"Career Site","Final Onsite",0
2/2016,2,2016,CSM,"Career Site",Offer,0
2/2016,2,2016,CSM,"Career Site",Accept,0
2/2016,2,2016,CSM,"Career Site",Decline,0
2/2016,2,2016,CSM,Outreach,"All Applicants",20
2/2016,2,2016,CSM,Outreach,"Phone Screen",1
2/2016,2,2016,CSM,Outreach,Onsite,0
2/2016,2,2016,CSM,Outreach,"Final Onsite",0
2/2016,2,2016,CSM,Outreach,Offer,0
2/2016,2,2016,CSM,Outreach,Accept,0
2/2016,2,2016,CSM,Outreach,Decline,0
2/2016,2,2016,CSM,Hired,"All Applicants",2
2/2016,2,2016,CSM,Hired,"Phone Screen",2
2/2016,2,2016,CSM,Hired,Onsite,2
2/2016,2,2016,CSM,Hired,"Final Onsite",1
2/2016,2,2016,CSM,Hired,Offer,0
2/2016,2,2016,CSM,Hired,Accept,0
2/2016,2,2016,CSM,Hired,Decline,0
2/2016,2,2016,CSM,Gogohire,"All Applicants",1
2/2016,2,2016,CSM,Gogohire,"Phone Screen",1
2/2016,2,2016,CSM,Gogohire,Onsite,0
2/2016,2,2016,CSM,Gogohire,"Final Onsite",0
2/2016,2,2016,CSM,Gogohire,Offer,0
2/2016,2,2016,CSM,Gogohire,Accept,0
2/2016,2,2016,CSM,Gogohire,Decline,0
2/2016,2,2016,CSM,HireUp,"All Applicants",0
2/2016,2,2016,CSM,HireUp,"Phone Screen",0
2/2016,2,2016,CSM,HireUp,Onsite,0
2/2016,2,2016,CSM,HireUp,"Final Onsite",0
2/2016,2,2016,CSM,HireUp,Offer,0
2/2016,2,2016,CSM,HireUp,Accept,0
2/2016,2,2016,CSM,HireUp,Decline,0
2/2016,2,2016,CSM,Conferences,"All Applicants",1
2/2016,2,2016,CSM,Conferences,"Phone Screen",1
2/2016,2,2016,CSM,Conferences,Onsite,1
2/2016,2,2016,CSM,Conferences,"Final Onsite",0
2/2016,2,2016,CSM,Conferences,Offer,0
2/2016,2,2016,CSM,Conferences,Accept,0
2/2016,2,2016,CSM,Conferences,Decline,0
2/2016,2,2016,Interns,Referral,"All Applicants",0
2/2016,2,2016,Interns,Referral,"Phone Screen",0
2/2016,2,2016,Interns,Referral,Onsite,0
2/2016,2,2016,Interns,Referral,"Final Onsite",0
2/2016,2,2016,Interns,Referral,Offer,0
